Samples,Voltage
1,1.56402737047898
2,1.55425219941349
3,1.5347018572825
4,1.48093841642229
5,1.42717497556207
6,1.40762463343109
7,1.3782991202346
8,1.35386119257087
9,1.32942326490714
10,1.31964809384164
11,1.28543499511241
12,1.23655913978495
13,1.21212121212121
14,1.19257086999022
15,1.17302052785924
16,1.1485826001955
17,1.13391984359726
18,1.13391984359726
19,1.09970674486804
20,1.06549364613881
21,1.03128054740958
22,1.01661779081134
23,1.00684261974585
24,0.987292277614858
25,0.967741935483871
26,0.943304007820137
27,0.918866080156403
28,0.899315738025416
29,0.869990224828935
30,0.860215053763441
31,0.835777126099707
32,0.835777126099707
33,0.811339198435973
34,0.777126099706745
35,0.752688172043011
36,0.728250244379277
37,0.708699902248289
38,0.689149560117302
39,0.689149560117302
40,0.669599217986315
41,0.635386119257087
42,0.6158357771261
43,0.596285434995112
44,0.576735092864125
45,0.562072336265885
46,0.557184750733138
47,0.527859237536657
48,0.498533724340176
49,0.483870967741935
50,0.469208211143695
51,0.459433040078201
52,0.434995112414467
53,0.439882697947214
54,0.420332355816227
55,0.381231671554252
56,0.366568914956012
57,0.351906158357771
58,0.332355816226784
59,0.317693059628543
60,0.303030303030303
61,0.278592375366569
62,0.259042033235582
63,0.239491691104594
64,0.219941348973607
65,0.210166177908113
66,0.205278592375367
67,0.185728250244379
68,28.9294193233184
69,27.6459138718977
