Samples,Voltage
1,0.136852394916911
2,0.166177908113392
3,0.190615835777126
4,0.205278592375367
5,0.210166177908113
6,0.229716520039101
7,0.259042033235582
8,0.278592375366569
9,0.303030303030303
10,0.30791788856305
11,0.312805474095797
12,0.342130987292278
13,0.361681329423265
14,0.381231671554252
15,0.400782013685239
16,0.420332355816227
17,0.439882697947214
18,0.454545454545455
19,0.474095796676442
20,0.493646138807429
21,0.532746823069404
22,0.552297165200391
23,0.552297165200391
24,0.586510263929619
25,0.596285434995112
26,0.63049853372434
27,0.669599217986315
28,0.679374389051808
29,0.694037145650049
30,0.713587487781036
31,0.733137829912023
32,0.767350928641251
33,0.791788856304985
34,0.826001955034213
35,0.835777126099707
36,0.860215053763441
37,0.874877810361681
38,0.909090909090909
39,0.93841642228739
40,0.957966764418377
41,0.977517106549365
42,1.00684261974585
43,1.01661779081134
44,1.04105571847507
45,1.0752688172043
46,1.11436950146628
47,1.13391984359726
48,1.15347018572825
49,1.17790811339198
50,1.20234604105572
51,1.25122189638319
52,1.28543499511241
53,1.3147605083089
54,1.33919843597263
55,1.36363636363636
56,1.38318670576735
57,1.45161290322581
58,1.50537634408602
59,27.3828807495046
60,26.1273749170389
