Samples,Voltage
1,1.57869012707722
2,1.56891495601173
3,1.54936461388074
4,1.52981427174976
5,1.48093841642229
6,1.42228739002933
7,1.40273704789834
8,1.3880742913001
9,1.36852394916911
10,1.33919843597263
11,1.32942326490714
12,1.3049853372434
13,1.24633431085044
14,1.21212121212121
15,1.19745845552297
16,1.16813294232649
17,1.1485826001955
18,1.13880742913001
19,1.09970674486804
20,1.06060606060606
21,1.03616813294233
22,1.02150537634409
23,1.00684261974585
24,0.987292277614858
25,0.977517106549365
26,0.93841642228739
27,0.899315738025416
28,0.879765395894428
29,0.865102639296188
30,0.8455522971652
31,0.83088954056696
32,0.83088954056696
33,0.791788856304985
34,0.767350928641251
35,0.742913000977517
36,0.72336265884653
37,0.698924731182796
38,0.694037145650049
39,0.689149560117302
40,0.650048875855327
41,0.625610948191593
42,0.606060606060606
43,0.591397849462366
44,0.576735092864125
45,0.562072336265885
46,0.552297165200391
47,0.52297165200391
48,0.488758553274682
49,0.483870967741935
50,0.469208211143695
51,0.444770283479961
52,0.439882697947214
53,0.420332355816227
54,0.381231671554252
55,0.371456500488759
56,0.351906158357771
57,0.332355816226784
58,0.317693059628543
59,0.312805474095797
60,0.278592375366569
61,0.263929618768328
62,0.239491691104594
63,0.229716520039101
64,0.21505376344086
65,0.20039100684262
66,0.171065493646139
67,28.4167301639286
68,26.9699425197441
