Samples,Voltage
1,0.146627565982405
2,0.161290322580645
3,0.185728250244379
4,0.205278592375367
5,0.210166177908113
6,0.229716520039101
7,0.244379276637341
8,0.263929618768328
9,0.288367546432063
10,0.312805474095797
11,0.30791788856305
12,0.332355816226784
13,0.356793743890518
14,0.376344086021505
15,0.395894428152493
16,0.425219941348974
17,0.43010752688172
18,0.444770283479961
19,0.469208211143695
20,0.483870967741935
21,0.50830889540567
22,0.532746823069404
23,0.557184750733138
24,0.576735092864125
25,0.581622678396872
26,0.610948191593353
27,0.645161290322581
28,0.674486803519062
29,0.679374389051808
30,0.703812316715543
31,0.713587487781036
32,0.742913000977517
33,0.767350928641251
34,0.801564027370479
35,0.83088954056696
36,0.8455522971652
37,0.865102639296188
38,0.879765395894428
39,0.904203323558162
40,0.933528836754643
41,0.957966764418377
42,0.972629521016618
43,0.997067448680352
44,1.01173020527859
45,1.03128054740958
46,1.06549364613881
47,1.09481915933529
48,1.12903225806452
49,1.13880742913001
50,1.17302052785924
51,1.18768328445748
52,1.22678396871945
53,1.26588465298143
54,1.30987292277615
55,1.31964809384164
56,1.35386119257087
57,1.3782991202346
58,1.40762463343109
59,1.47605083088954
60,1.52003910068426
61,27.9215511685083
62,26.5008449406707
