Samples,Voltage
1,0.171065493646139
2,0.190615835777126
3,0.205278592375367
4,0.21505376344086
5,0.229716520039101
6,0.244379276637341
7,0.273704789833822
8,0.293255131964809
9,0.312805474095797
10,0.317693059628543
11,0.327468230694037
12,0.361681329423265
13,0.376344086021505
14,0.405669599217986
15,0.43010752688172
16,0.439882697947214
17,0.444770283479961
18,0.474095796676442
19,0.488758553274682
20,0.518084066471163
21,0.542521994134897
22,0.557184750733138
23,0.571847507331378
24,0.591397849462366
25,0.620723362658847
26,0.659824046920821
27,0.679374389051808
28,0.689149560117302
29,0.713587487781036
30,0.733137829912023
31,0.752688172043011
32,0.791788856304985
33,0.826001955034213
34,0.816226783968719
35,0.840664711632453
36,0.860215053763441
37,0.879765395894428
38,0.909090909090909
39,0.93841642228739
40,0.962854349951124
41,0.977517106549365
42,1.00684261974585
43,1.02639296187683
44,1.06549364613881
45,1.10459433040078
46,1.13391984359726
47,1.14369501466276
48,1.16813294232649
49,1.18279569892473
50,1.21212121212121
51,1.25610948191593
52,1.30987292277615
53,1.32942326490714
54,1.34897360703812
55,1.37341153470186
56,1.39296187683284
57,1.43206256109482
58,1.49560117302053
59,1.54936461388074
60,27.7154190062874
61,26.2720251673926
