Samples,Voltage
1,0.131964809384164
2,0.136852394916911
3,0.175953079178886
4,0.185728250244379
5,0.20039100684262
6,0.205278592375367
7,0.224828934506354
8,0.249266862170088
9,0.273704789833822
10,0.298142717497556
11,0.30791788856305
12,0.327468230694037
13,0.351906158357771
14,0.376344086021505
15,0.391006842619746
16,0.41544477028348
17,0.425219941348974
18,0.439882697947214
19,0.459433040078201
20,0.483870967741935
21,0.503421309872923
22,0.532746823069404
23,0.552297165200391
24,0.557184750733138
25,0.576735092864125
26,0.596285434995112
27,0.6158357771261
28,0.640273704789834
29,0.674486803519062
30,0.684261974584555
31,0.694037145650049
32,0.72336265884653
33,0.73802541544477
34,0.757575757575758
35,0.791788856304985
36,0.821114369501466
37,0.835777126099707
38,0.850439882697947
39,0.865102639296188
40,0.909090909090909
41,0.943304007820137
42,0.957966764418377
43,0.982404692082111
44,1.0019550342131
45,1.01661779081134
46,1.06060606060606
47,1.10948191593353
48,1.13391984359726
49,1.14369501466276
50,1.17790811339198
51,1.2316715542522
52,1.27077223851417
53,1.30987292277615
54,1.32942326490714
55,1.35386119257087
56,1.3782991202346
57,1.40273704789834
58,1.46627565982405
59,1.51026392961877
60,27.4575284796002
61,26.0869204973239
