Samples,Voltage
1,1.56402737047898
2,1.54936461388074
3,1.52981427174976
4,1.48093841642229
5,1.43206256109482
6,1.39784946236559
7,1.37341153470186
8,1.35386119257087
9,1.33431085043988
10,1.31964809384164
11,1.29032258064516
12,1.24144672531769
13,1.20723362658847
14,1.18279569892473
15,1.16324535679374
16,1.13880742913001
17,1.12414467253177
18,1.08504398826979
19,1.05571847507331
20,1.03616813294233
21,1.01661779081134
22,0.992179863147605
23,0.972629521016618
24,0.93841642228739
25,0.909090909090909
26,0.884652981427175
27,0.865102639296188
28,0.8455522971652
29,0.835777126099707
30,0.826001955034213
31,0.806451612903226
32,0.772238514173998
33,0.742913000977517
34,0.72336265884653
35,0.698924731182796
36,0.694037145650049
37,0.679374389051808
38,0.650048875855327
39,0.6158357771261
40,0.606060606060606
41,0.581622678396872
42,0.571847507331378
43,0.562072336265885
44,0.547409579667644
45,0.513196480938416
46,0.488758553274682
47,0.469208211143695
48,0.464320625610948
49,0.439882697947214
50,0.439882697947214
51,0.41544477028348
52,0.376344086021505
53,0.366568914956012
54,0.356793743890518
55,0.332355816226784
56,0.317693059628543
57,0.30791788856305
58,0.283479960899316
59,0.263929618768328
60,0.244379276637341
61,0.224828934506354
62,0.210166177908113
63,0.205278592375367
64,0.185728250244379
65,27.9697971327115
66,26.4857094551201
