Samples,Voltage
1,0.171065493646139
2,0.180840664711632
3,0.205278592375367
4,0.20039100684262
5,0.224828934506354
6,0.239491691104594
7,0.259042033235582
8,0.283479960899316
9,0.30791788856305
10,0.317693059628543
11,0.32258064516129
12,0.342130987292278
13,0.361681329423265
14,0.381231671554252
15,0.405669599217986
16,0.434995112414467
17,0.43010752688172
18,0.454545454545455
19,0.478983382209189
20,0.488758553274682
21,0.52297165200391
22,0.552297165200391
23,0.557184750733138
24,0.571847507331378
25,0.586510263929619
26,0.610948191593353
27,0.625610948191593
28,0.659824046920821
29,0.674486803519062
30,0.689149560117302
31,0.703812316715543
32,0.72336265884653
33,0.747800586510264
34,0.772238514173998
35,0.811339198435973
36,0.826001955034213
37,0.835777126099707
38,0.850439882697947
39,0.874877810361681
40,0.909090909090909
41,0.948191593352884
42,0.962854349951124
43,0.982404692082111
44,1.0019550342131
45,1.01173020527859
46,1.05083088954057
47,1.08015640273705
48,1.12903225806452
49,1.14369501466276
50,1.17302052785924
51,1.17790811339198
52,1.21700879765396
53,1.25610948191593
54,1.29521016617791
55,1.32453567937439
56,1.33919843597263
57,1.35386119257087
58,1.3782991202346
59,1.40762463343109
60,1.47605083088954
61,1.52492668621701
62,28.9455803316493
63,27.4823948747356
