Samples,Voltage
1,1.57380254154448
2,1.56402737047898
3,1.54936461388074
4,1.52003910068426
5,1.46627565982405
6,1.42228739002933
7,1.40273704789834
8,1.3782991202346
9,1.35874877810362
10,1.32942326490714
11,1.31964809384164
12,1.28054740957967
13,1.24144672531769
14,1.20723362658847
15,1.18279569892473
16,1.16324535679374
17,1.13880742913001
18,1.12903225806452
19,1.08993157380254
20,1.05571847507331
21,1.03128054740958
22,1.00684261974585
23,0.992179863147605
24,0.977517106549365
25,0.962854349951124
26,0.93841642228739
27,0.909090909090909
28,0.894428152492669
29,0.860215053763441
30,0.850439882697947
31,0.840664711632453
32,0.83088954056696
33,0.821114369501466
34,0.777126099706745
35,0.742913000977517
36,0.728250244379277
37,0.703812316715543
38,0.694037145650049
39,0.684261974584555
40,0.654936461388074
41,0.620723362658847
42,0.601173020527859
43,0.586510263929619
44,0.566959921798631
45,0.562072336265885
46,0.552297165200391
47,0.50830889540567
48,0.483870967741935
49,0.469208211143695
50,0.449657869012708
51,0.439882697947214
52,0.43010752688172
53,0.400782013685239
54,0.376344086021505
55,0.351906158357771
56,0.337243401759531
57,0.32258064516129
58,0.317693059628543
59,0.298142717497556
60,0.268817204301075
61,0.249266862170088
62,0.229716520039101
63,0.219941348973607
64,0.21505376344086
65,0.195503421309873
66,28.1756863928902
67,26.8635078223896
